raceId,totalDNFs,circuitId,countryId,rain,topTenDiversity,driverExpWeightedSum,pitsWeightedSum,preRaceALPCWeightedSum,TCCAPE,clusterMeanWeightedSum,gapWeightedSum
832,5.0,hungaroring,hungary,light,7.0,0.0049849083697207,0.4632506426488167,-0.0009225012549405,555.5,-0.8839445748583664,0.0541413383908105
833,4.0,spa-francorchamps,belgium,heavy,6.0,-0.0269286128276995,0.3322697264106683,-0.0037247420652173,606.0,-0.7224237268478262,-0.2588425871253607
834,4.0,monza,italy,none,6.0,-0.0588421340251199,0.1268098967438702,-0.0053017986067192,656.5,-0.4486760509947298,-0.0581270210805862
835,8.0,marina-bay,singapore,heavy,7.0,-0.1362567860863887,0.4019939720905126,-0.0014758994104085,707.0,-0.2615349929808959,-0.0058446678978057
836,6.0,suzuka,japan,none,6.0,-0.1486962479724547,0.3977803896517153,0.0020556271541503,757.5,-0.6153741784584981,-0.0963464971338851
837,9.0,yeongam,south-korea,moderate,6.0,-0.1806097691698751,0.3523799453492815,0.00214078784585,808.0,-0.4350655107180501,-0.0746885412455437
838,1.0,interlagos,brazil,light,6.0,-0.2292987342088221,0.4345111774968458,0.0007386098023715,858.5,-0.5996731623155467,0.093163455608039
839,3.0,yas-marina,united-arab-emirates,light,6.0,-0.2612122554062424,0.4597857590909134,0.00187565513834,909.0,-0.5525079883069829,-0.0621354396016018
840,5.0,melbourne,australia,none,7.0,0.1676743351858198,0.7359891842846203,-0.0111410076987925,0.0,-0.6865435866757803,0.0236333633773004
841,7.0,sepang,malaysia,heavy,6.0,0.1697520999011625,0.959143680466104,0.0003890491428568,50.5,-0.5016759322267081,-0.0283371093633981
842,1.0,shanghai,china,none,7.0,0.1378385787037422,0.6128453902220125,-0.0113457184658385,101.0,-0.5578720014855072,-0.0125093005957431
843,1.0,istanbul,turkey,none,5.0,0.1059250575063219,0.1029342456643063,-0.0045772556315787,151.5,-0.8066348174079467,-0.0480444235365672
844,3.0,catalunya,spain,none,6.0,0.0740115363089015,-0.3110859518448688,0.0002567139826842,202.0,-0.2876177138170525,-0.0358689579127944
845,5.0,monaco,monaco,none,6.0,0.0420980151114812,-0.296144151500414,-0.0006147136363635,252.5,-0.5645437574069264,0.0438587973804318
846,6.0,montreal,canada,heavy,5.0,0.048973696267117,-0.1260078843859209,-0.0069887227484473,303.0,-0.3106683942318841,-0.0909466306511357
847,0.0,valencia,spain,none,6.0,-0.0203797195484454,-0.6025887280268669,-0.0010563888012423,353.5,-0.262516147452381,-0.0006578706167268
848,5.0,silverstone,united-kingdom,light,7.0,-0.038174543265607,-0.6345118886649264,0.0022533745454541,404.0,-0.1967570466633728,-0.0233890339553757
849,4.0,nurburgring,germany,moderate,6.0,-0.0236694388019326,-0.5359928921219086,-0.0046749893261813,454.5,-0.2123795311857707,0.0141594884187208
850,4.0,hungaroring,hungary,light,6.0,-0.1006522779255337,-0.3253356474200243,-0.0028816589751552,505.0,-0.3085957825682289,0.0458809734705794
851,5.0,spa-francorchamps,belgium,light,7.0,-0.1178367374105937,-0.6179193323085175,0.0047705869071145,555.5,-0.2638102833399209,0.0266031605325244
852,8.0,monza,italy,light,5.0,-0.149750258608014,-0.4521659607248498,0.0008930227202145,606.0,-0.3555031930585357,-0.0003259587281217
853,3.0,marina-bay,singapore,moderate,5.0,-0.1816637798054344,-0.7246354548494887,-0.0001444020652173,656.5,-0.2554463190513834,0.0989834651097498
854,1.0,suzuka,japan,none,6.0,-0.2135773010028547,-0.7855850874248522,-0.0023066801459622,707.0,-0.2283059941770186,-0.0225108643735569
855,3.0,yeongam,south-korea,light,6.0,-0.2454908222002751,-0.801616086171252,-0.0011695182298136,757.5,-0.5645930501438923,0.0234954310541811
856,5.0,buddh,india,none,6.0,-0.2910982078153545,-0.691691523408744,-0.0088780541897233,808.0,-0.5249725652371542,-0.0188010573367198
857,4.0,yas-marina,united-arab-emirates,none,5.0,-0.3079685568602018,-0.7216679959919843,-0.0076208734285714,858.5,-0.2521156743433089,0.0073675076513908
858,4.0,interlagos,brazil,heavy,6.0,-0.3398820780576221,-0.6836042369615549,-0.0047957241863718,909.0,-0.5306800955930587,-0.0135798849971637
859,6.0,melbourne,australia,none,7.0,0.2554081784884198,-0.6982642799871306,-0.0099317322510821,0.0,-0.6520550510606061,-0.067966463672742
860,2.0,sepang,malaysia,heavy,6.0,0.2234946572909995,-0.6530146690757578,-5.280606719293424e-05,50.5,-1.106504856849473,-0.0807258536055949
861,1.0,shanghai,china,none,6.0,0.1915811360935791,-0.740437657493503,-0.012930301667701,101.0,-0.9961026233447204,-0.1135821957248046
862,2.0,bahrain,bahrain,none,8.0,0.1596676148961587,-0.7905797122874084,0.0012636958399217,151.5,-0.6021476607509881,-0.0759261354571711
863,5.0,catalunya,spain,moderate,7.0,0.1277540936987384,-0.8332531081466039,-0.0223828281842106,202.0,-1.741352326274981,-0.0923022461945039
864,8.0,monaco,monaco,moderate,6.0,0.0958405725013181,-0.9619017961057992,-0.0051762797826093,252.5,-0.5674095360507247,-0.0961769757770422
865,4.0,montreal,canada,none,6.0,0.0639270513038978,-0.90301676367212,0.0004487994565216,303.0,-1.0253818886956525,-0.0842170551639378
866,4.0,valencia,spain,none,7.0,0.0320135301064774,-0.8347102242409815,-0.0039541225714277,353.5,-1.6662198753715418,-0.1107652716619032
867,2.0,silverstone,united-kingdom,heavy,7.0,0.0001000089090571,-0.7395805869220318,-0.0482480017368418,404.0,-0.8121533439482006,-0.1139448707244846
868,1.0,hockenheimring,germany,none,7.0,-0.0318135122883632,-0.6994108875927767,-0.0441211456055894,454.5,-1.6117385124461698,-0.1048255703694126
869,2.0,hungaroring,hungary,moderate,6.0,-0.0637270334857835,-0.7100925585385796,-0.0049228803757765,505.0,-1.6100953357298138,-0.1134541445494629
870,6.0,spa-francorchamps,belgium,none,7.0,-0.0956405546832039,-0.7177045899034673,-0.0077726700305851,555.5,-0.9321237778971392,-0.0977541444491721
871,2.0,monza,italy,none,7.0,-0.1279076372418021,-0.6946468220850759,-0.0156116895559004,606.0,-0.7289292784968944,-0.095008889162101
872,5.0,marina-bay,singapore,moderate,7.0,-0.1581182893431305,-0.628351110592445,0.0034861775691702,656.5,-0.2998032244598155,-0.0544043571161182
873,5.0,suzuka,japan,none,5.0,-0.1900318105405508,-0.6780552520962211,-0.01485774533785,707.0,-0.8966179194075852,-0.0427040978502857
874,4.0,yeongam,south-korea,none,6.0,-0.2219453317379712,-0.7525327568704063,-0.0084634960675055,757.5,-1.3937963485003817,-0.0654087529738957
875,2.0,buddh,india,none,7.0,-0.2538588529353915,-0.5988199298332187,-0.0035372961459629,808.0,-0.5773860178385093,-0.1053923948288085
876,7.0,yas-marina,united-arab-emirates,none,7.0,-0.2857723741328119,-0.4553376181867319,-0.0227936166469616,858.5,-1.0170604420614036,-0.0829851746816399
877,2.0,austin,united-states-of-america,none,7.0,-0.3176858953302322,-0.4766484806031991,0.0006223550691698,909.0,-0.7994809176745717,-0.0711365471338567
878,5.0,interlagos,brazil,heavy,6.0,-0.3495994165276525,-0.2581604643003814,-0.0042848491577262,959.5,-0.7289365050988142,-0.0930812480519972
879,3.0,melbourne,australia,light,6.0,0.0838373550645383,-0.6397146603520616,0.0024962552857141,0.0,-0.2065929347142857,-0.0790753710898011
880,4.0,sepang,malaysia,moderate,6.0,0.0519665488162554,-1.2466986853543385,-0.0175595691774891,50.5,-0.8033400773593073,-0.057107723561687
881,4.0,shanghai,china,none,7.0,0.0200957425679726,-1.7612254783738843,-0.0126079950259738,101.0,-1.203683241987013,-0.0209403317800553
882,1.0,bahrain,bahrain,none,6.0,-0.0117750636803101,-1.7898852126493,-0.0146895868628394,151.5,-1.3031974618925724,-0.0619004405503099
883,3.0,catalunya,spain,light,6.0,-0.0436458699285929,-2.0812485067562894,-0.0096744116705393,202.0,-0.6249947966500342,-0.0419425989986498
884,6.0,monaco,monaco,none,7.0,-0.0755166761768758,-2.2203903827899305,0.0060473372727279,252.5,-0.6501895744155846,-0.109499126555034
885,2.0,montreal,canada,light,8.0,-0.1073874824251586,-1.938935949372944,-0.0243343034805192,303.0,-0.9056000032813852,0.0076360681094087
886,2.0,silverstone,united-kingdom,none,7.0,-0.1392582886734414,-1.7917106797679894,-0.0148733359913421,353.5,-0.4715461185844156,-0.0651933055649362
887,3.0,nurburgring,germany,none,7.0,-0.1711290949217242,-1.782825869699952,-0.0062081195757569,404.0,-0.4686820118961039,-0.096703640151495
888,3.0,hungaroring,hungary,none,6.0,-0.202999901170007,-1.7687648117918469,-0.0018093398051946,454.5,-0.9682016146796536,-0.0680786846262893
889,3.0,spa-francorchamps,belgium,moderate,6.0,-0.2348707074182898,-1.7489002454781415,-0.0107523191341991,505.0,-1.3000477757532467,-0.1995994803424734
890,2.0,monza,italy,heavy,6.0,-0.2667415136665726,-1.6539434325444728,-0.0114777126832234,555.5,-1.2405885024515837,-0.0862238024372704
891,2.0,marina-bay,singapore,light,7.0,-0.2986123199148555,-1.5385203716014642,0.0017503002597406,606.0,-0.3807806827272728,-0.0426709903072662
892,2.0,yeongam,south-korea,light,6.0,-0.3304831261631383,-1.5590909218171924,-0.01316761528617,656.5,-1.23383806365892,-0.0623318920782811
893,3.0,suzuka,japan,none,6.0,-0.3623539324114211,-1.252565572639559,-0.004827428324675,707.0,-0.708201239069264,-0.0862633925283835
894,3.0,buddh,india,none,6.0,-0.3942247386597039,-1.353589777608465,-0.004486558467532,757.5,-1.2807739245541128,-0.0396716405202902
895,1.0,yas-marina,united-arab-emirates,none,7.0,-0.4260955449079867,-1.5599447802576911,-0.023746377030455,808.0,-1.567558482335384,-0.0700882958063199
896,1.0,austin,united-states-of-america,none,8.0,-0.4300802675950904,-1.4680784194711716,-0.0178857503167005,858.5,-3.4981516597493734,-0.0110205510163139
897,3.0,interlagos,brazil,heavy,6.0,-0.4619510738433732,-1.4080417890876915,-0.0385059828981539,909.0,-0.9408261212964228,-0.0331230011448003
898,7.0,melbourne,australia,light,7.0,0.0605380152522111,-1.2512233483714523,-0.0292693238398269,0.0,-0.3990744266060606,-0.0202485717331942
